GEO_ID,Area Name,Total 18-24,18-24 TOTAL Bachelors+ education,18-24 Male Education,18-24 Male less than HS,18-24 Male HS grad,18-24 some college/ass degree,18-24 male Bachelors+,18-24 total female,18-24 female less than HS,18-24 Female HS grad,18-24 female some college/ass degree,18-24 female bachelors+
26001,"Alcona County, Michigan",488,8,264,116,79,69,0,224,46,87,83,8
26003,"Alger County, Michigan",711,34,438,116,266,34,22,273,43,106,112,12
26005,"Allegan County, Michigan",9059,815,4812,981,2320,1159,352,4247,537,1815,1432,463
26007,"Alpena County, Michigan",1955,71,1023,233,332,436,22,932,143,258,482,49
26009,"Antrim County, Michigan",1541,130,798,150,345,258,45,743,156,262,240,85
26011,"Arenac County, Michigan",935,12,486,102,225,151,8,449,78,196,171,4
26013,"Baraga County, Michigan",664,62,413,114,218,47,34,251,41,107,75,28
26015,"Barry County, Michigan",4710,308,2484,421,1183,779,101,2226,297,926,796,207
26017,"Bay County, Michigan",7758,516,3977,652,1558,1531,236,3781,582,1365,1554,280
26019,"Benzie County, Michigan",1117,122,591,59,227,283,22,526,94,175,157,100
26021,"Berrien County, Michigan",12480,1078,6371,1370,2092,2276,633,6109,791,2153,2720,445
26023,"Branch County, Michigan",3222,115,1600,465,587,517,31,1622,310,664,564,84
26025,"Calhoun County, Michigan",12052,579,6156,874,2278,2810,194,5896,883,1904,2724,385
26027,"Cass County, Michigan",3890,202,1985,357,852,705,71,1905,251,737,786,131
26029,"Charlevoix County, Michigan",1855,93,957,91,365,442,59,898,124,235,505,34
26031,"Cheboygan County, Michigan",1670,122,905,175,400,265,65,765,98,217,393,57
26033,"Chippewa County, Michigan",4475,393,2460,375,893,997,195,2015,195,445,1177,198
26035,"Clare County, Michigan",2048,74,1048,324,382,335,7,1000,188,304,441,67
26037,"Clinton County, Michigan",6807,803,3528,399,1272,1534,323,3279,265,949,1585,480
26039,"Crawford County, Michigan",837,79,451,92,203,113,43,386,22,175,153,36
26041,"Delta County, Michigan",2377,150,1199,259,442,438,60,1178,203,425,460,90
26043,"Dickinson County, Michigan",1703,97,928,131,440,335,22,775,65,275,360,75
26045,"Eaton County, Michigan",9508,1040,4909,841,1613,2039,416,4599,391,1270,2314,624
26047,"Emmet County, Michigan",2589,183,1349,150,601,564,34,1240,136,236,719,149
26049,"Genesee County, Michigan",34927,2530,17696,3408,7135,6139,1014,17231,2661,5548,7506,1516
26051,"Gladwin County, Michigan",1603,135,828,212,312,223,81,775,130,354,237,54
26053,"Gogebic County, Michigan",1070,41,620,126,277,203,14,450,73,120,230,27
26055,"Grand Traverse County, Michigan",6948,752,3604,740,1049,1672,143,3344,400,697,1638,609
26057,"Gratiot County, Michigan",4426,335,2491,360,829,1073,229,1935,93,467,1269,106
26059,"Hillsdale County, Michigan",4373,228,2188,358,764,957,109,2185,226,710,1130,119
26061,"Houghton County, Michigan",7528,941,5025,153,1032,3255,585,2503,203,584,1360,356
26063,"Huron County, Michigan",2120,144,1129,140,532,373,84,991,141,392,398,60
26065,"Ingham County, Michigan",55699,7228,27501,1869,6852,15879,2901,28198,1257,6393,16221,4327
26067,"Ionia County, Michigan",6173,291,3894,605,1903,1294,92,2279,392,587,1101,199
26069,"Iosco County, Michigan",1464,105,807,184,247,295,81,657,170,243,220,24
26071,"Iron County, Michigan",651,86,349,132,60,85,72,302,39,157,92,14
26073,"Isabella County, Michigan",19053,1925,8672,517,1914,5493,748,10381,278,2238,6688,1177
26075,"Jackson County, Michigan",13671,557,7333,1509,3019,2590,215,6338,557,2373,3066,342
26077,"Kalamazoo County, Michigan",40853,5098,20075,1788,5416,10948,1923,20778,1140,5309,11154,3175
26079,"Kalkaska County, Michigan",1177,65,643,198,243,178,24,534,138,169,186,41
26081,"Kent County, Michigan",61490,9292,30870,4829,9973,11756,4312,30620,3598,8099,13943,4980
26083,"Keweenaw County, Michigan",86,27,35,3,10,7,15,51,3,1,35,12
26085,"Lake County, Michigan",728,26,335,109,152,57,17,393,114,125,145,9
26087,"Lapeer County, Michigan",7042,302,3843,969,1635,1147,92,3199,459,1154,1376,210
26089,"Leelanau County, Michigan",1325,106,720,120,275,291,34,605,62,191,280,72
26091,"Lenawee County, Michigan",9083,379,4861,701,1756,2214,190,4222,512,1393,2128,189
26093,"Livingston County, Michigan",15449,2005,8077,1088,3128,3072,789,7372,837,2066,3253,1216
26095,"Luce County, Michigan",422,48,265,100,88,64,13,157,38,24,60,35
26097,"Mackinac County, Michigan",662,55,435,111,180,119,25,227,36,68,93,30
26099,"Macomb County, Michigan",70733,8590,36073,4734,13459,14113,3767,34660,3228,10073,16536,4823
26101,"Manistee County, Michigan",1736,115,1015,332,442,191,50,721,126,230,300,65
26103,"Marquette County, Michigan",9994,960,4850,426,1191,2865,368,5144,469,1144,2939,592
26105,"Mason County, Michigan",1945,100,1094,240,377,450,27,851,87,311,380,73
26107,"Mecosta County, Michigan",7927,791,4377,390,1025,2635,327,3550,295,744,2047,464
26109,"Menominee County, Michigan",1621,61,849,153,420,260,16,772,102,289,336,45
26111,"Midland County, Michigan",6878,968,3572,350,1392,1395,435,3306,248,907,1618,533
26113,"Missaukee County, Michigan",1093,51,599,91,343,143,22,494,82,213,170,29
26115,"Monroe County, Michigan",11810,660,6102,1044,2142,2664,252,5708,696,1688,2916,408
26117,"Montcalm County, Michigan",4914,249,2645,463,1250,849,83,2269,347,754,1002,166
26119,"Montmorency County, Michigan",507,80,249,74,107,33,35,258,23,85,105,45
26121,"Muskegon County, Michigan",14378,763,7496,1467,2735,3041,253,6882,991,2288,3093,510
26123,"Newaygo County, Michigan",3653,145,1921,408,868,593,52,1732,266,531,842,93
26125,"Oakland County, Michigan",101877,19232,52666,6125,16505,20785,9251,49211,4113,13097,22020,9981
26127,"Oceana County, Michigan",2155,76,1216,298,568,324,26,939,203,315,371,50
26129,"Ogemaw County, Michigan",1323,32,701,173,307,215,6,622,89,215,292,26
26131,"Ontonagon County, Michigan",314,10,157,40,52,61,4,157,23,56,72,6
26133,"Osceola County, Michigan",1671,76,865,236,405,198,26,806,178,300,278,50
26135,"Oscoda County, Michigan",515,20,253,98,55,96,4,262,97,60,89,16
26137,"Otsego County, Michigan",1848,99,957,179,346,402,30,891,168,218,436,69
26139,"Ottawa County, Michigan",38693,3761,18829,2070,6341,8620,1798,19864,1216,4982,11703,1963
26141,"Presque Isle County, Michigan",710,47,364,73,144,127,20,346,55,95,169,27
26143,"Roscommon County, Michigan",1257,99,683,219,224,230,10,574,109,168,208,89
26145,"Saginaw County, Michigan",18121,993,9137,1385,3325,4011,416,8984,1090,2532,4785,577
26147,"St. Clair County, Michigan",12691,688,6762,1411,2782,2257,312,5929,793,2044,2716,376
26149,"St. Joseph County, Michigan",4973,173,2679,807,1027,787,58,2294,587,670,922,115
26151,"Sanilac County, Michigan",3008,133,1570,372,758,370,70,1438,285,612,478,63
26153,"Schoolcraft County, Michigan",465,23,259,83,114,43,19,206,26,120,56,4
26155,"Shiawassee County, Michigan",5616,226,2890,339,1173,1244,134,2726,234,1308,1092,92
26157,"Tuscola County, Michigan",3905,217,2026,436,987,516,87,1879,252,714,783,130
26159,"Van Buren County, Michigan",5888,233,3107,642,1260,1120,85,2781,332,1073,1228,148
26161,"Washtenaw County, Michigan",68331,14532,34475,2127,6933,18862,6553,33856,1514,5476,18887,7979
26163,"Wayne County, Michigan",153030,15143,76664,13798,27387,28735,6744,76366,10177,25777,32013,8399
26165,"Wexford County, Michigan",2416,110,1280,299,707,225,49,1136,288,333,454,61